Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F2,1A PTC,Fuse_0402_1005Metric,14.779999,2.5,180.0,top
FB1,100R @ 100MHz,L_0603_1608Metric,18.15,-2.3,-90.0,top
J1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,24.1,2.15,180.0,top
J2,SM04B-SRSS,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,7.0,-1.217207,0.0,top
R1,5.1k,R_0402_1005Metric,14.779999,-3.0,180.0,top
R2,5.1k,R_0402_1005Metric,14.779999,-2.0,180.0,top
U2,USBLC6-2SC6,SOT-23-6,14.779999,0.167793,0.0,top
